ppm,700K,720K,740K,760K,780K,800K,820K,840K,860K,880K,900K,,
20.27027027,0.005169381,0.005148499,0.00512759,0.005106822,0.005086201,0.005065729,0.005045411,0.00502525,0.005005247,0.004985406,0.004965728,,0.005066019
20.42042042,0.005201538,0.005180559,0.005159551,0.005138686,0.005117967,0.005097399,0.005076985,0.005056727,0.00503663,0.005016694,0.004996922,,0.005097689
20.57057057,0.005234019,0.005212942,0.005191835,0.005170871,0.005150055,0.005129389,0.005108878,0.005088524,0.00506833,0.005048299,0.005028432,,0.00512968
20.72072072,0.005266827,0.005245651,0.005224445,0.005203382,0.005182467,0.005161703,0.005141095,0.005120644,0.005100353,0.005080226,0.005060264,,0.005161996
20.87087087,0.005299967,0.005278691,0.005257385,0.005236223,0.005215209,0.005194346,0.005173639,0.00515309,0.005132703,0.005112479,0.00509242,,0.005194639
21.02102102,0.005333442,0.005312067,0.00529066,0.005269398,0.005248283,0.005227322,0.005206515,0.005185868,0.005165383,0.005145061,0.005124906,,0.005227616
21.17117117,0.005367258,0.005345782,0.005324274,0.005302911,0.005281696,0.005260634,0.005239728,0.005218982,0.005198398,0.005177978,0.005157726,,0.005260929
21.32132132,0.005401419,0.005379842,0.005358232,0.005336767,0.005315451,0.005294288,0.005273282,0.005252436,0.005231753,0.005211234,0.005190883,,0.005294584
21.47147147,0.00543593,0.005414251,0.005392538,0.005370971,0.005349553,0.005328289,0.005307182,0.005286235,0.005265451,0.005244833,0.005224383,,0.005328585
21.62162162,0.005470794,0.005449012,0.005427197,0.005405526,0.005384006,0.00536264,0.005341431,0.005320383,0.005299499,0.00527878,0.00525823,,0.005362937
21.77177177,0.005506017,0.005484132,0.005462213,0.005440439,0.005418815,0.005397346,0.005376035,0.005354885,0.005333899,0.00531308,0.005292429,,0.005397644
21.92192192,0.005541603,0.005519615,0.005497591,0.005475713,0.005453985,0.005432413,0.005410999,0.005389746,0.005368658,0.005347737,0.005326985,,0.005432712
22.07207207,0.005577558,0.005555465,0.005533336,0.005511353,0.005489521,0.005467844,0.005446326,0.00542497,0.005403779,0.005382756,0.005361902,,0.005468144
22.22222222,0.005613886,0.005591688,0.005569453,0.005547365,0.005525428,0.005503646,0.005482023,0.005460563,0.005439269,0.005418142,0.005397185,,0.005503946
22.37237237,0.005650592,0.005628289,0.005605948,0.005583753,0.00556171,0.005539823,0.005518095,0.00549653,0.005475131,0.0054539,0.00543284,,0.005540124
22.52252252,0.005687682,0.005665273,0.005642824,0.005620523,0.005598373,0.00557638,0.005554546,0.005532875,0.005511371,0.005490036,0.005468871,,0.005576681
22.67267267,0.005725161,0.005702645,0.005680089,0.005657679,0.005635422,0.005613322,0.005591381,0.005569605,0.005547994,0.005526553,0.005505284,,0.005613624
22.82282282,0.005763034,0.005740411,0.005717745,0.005695228,0.005672863,0.005650655,0.005628607,0.005606723,0.005585006,0.005563459,0.005542084,,0.005650957
22.97297297,0.005801306,0.005778575,0.005755801,0.005733174,0.005710701,0.005688384,0.005666228,0.005644236,0.005622412,0.005600758,0.005579276,,0.005688687
23.12312312,0.005839984,0.005817144,0.00579426,0.005771524,0.005748941,0.005726515,0.00570425,0.00568215,0.005660217,0.005638455,0.005616866,,0.005726818
23.27327327,0.005879072,0.005856123,0.005833128,0.005810282,0.005787589,0.005765053,0.005742678,0.005720469,0.005698427,0.005676557,0.00565486,,0.005765357
