ppm,600K,640K,680K,720K,760K,800K,840K,880K,920K,960K,1000K,,
12.91291291,0.004005428,0.003971286,0.003937445,0.003903796,0.003870147,0.003836946,0.003804221,0.003771992,0.003740096,0.003708496,0.003677445,,0.003837735
13.06306306,0.004025876,0.003991597,0.003957623,0.003923843,0.003890064,0.003856738,0.00382389,0.003791542,0.003759529,0.003727812,0.003696648,,0.003857533
13.21321321,0.00404652,0.004012102,0.003977992,0.00394408,0.003910171,0.003876716,0.003843744,0.003811275,0.003779143,0.003747309,0.00371603,,0.003877517
13.36336336,0.004067362,0.004032803,0.003998556,0.00396451,0.003930467,0.003896884,0.003863785,0.003831193,0.00379894,0.003766986,0.003735591,,0.00389769
13.51351351,0.004088401,0.0040537,0.004019315,0.003985133,0.003950956,0.003917241,0.003884015,0.003851298,0.003818922,0.003786848,0.003755335,,0.003918053
13.66366366,0.004109641,0.004074797,0.004040272,0.004005952,0.003971638,0.003937791,0.003904435,0.003871592,0.003839092,0.003806895,0.003775261,,0.003938609
13.81381381,0.004131082,0.004096093,0.004061427,0.004026968,0.003992516,0.003958534,0.003925047,0.003892076,0.00385945,0.003827129,0.003795374,,0.003959358
13.96396396,0.004152727,0.004117592,0.004082782,0.004048182,0.004013592,0.003979474,0.003945854,0.003912753,0.003879999,0.003847552,0.003815674,,0.003980303
14.11411411,0.004174577,0.004139294,0.00410434,0.004069598,0.004034866,0.004000611,0.003966856,0.003933624,0.003900741,0.003868166,0.003836163,,0.004001445
14.26426426,0.004196634,0.004161202,0.004126101,0.004091216,0.004056342,0.004021947,0.003988056,0.003954691,0.003921677,0.003888973,0.003856844,,0.004022787
14.41441441,0.0042189,0.004183317,0.004148069,0.004113039,0.00407802,0.004043484,0.004009456,0.003975957,0.003942811,0.003909976,0.003877719,,0.00404433
14.56456456,0.004241376,0.004205641,0.004170245,0.004135068,0.004099904,0.004065225,0.004031058,0.003997423,0.003964142,0.003931175,0.003898789,,0.004066076
14.71471471,0.004264064,0.004228176,0.00419263,0.004157305,0.004121994,0.004087172,0.004052864,0.004019091,0.003985675,0.003952574,0.003920056,,0.004088028
14.86486486,0.004286967,0.004250925,0.004215227,0.004179752,0.004144293,0.004109326,0.004074875,0.004040963,0.00400741,0.003974174,0.003941524,,0.004110187
15.01501502,0.004310086,0.004273888,0.004238037,0.004202412,0.004166803,0.004131689,0.004097095,0.004063042,0.004029351,0.003995977,0.003963193,,0.004132556
15.16516517,0.004333424,0.004297069,0.004261064,0.004225287,0.004189526,0.004154263,0.004119525,0.00408533,0.004051498,0.004017986,0.003985067,,0.004155136
